split,class_name,source_capture,start_timestamp,end_timestamp,global_start_row,attack_frame_count,attack_ratio,first_attack_position,latency_upper_bound_ms,dominant_can_id,dominant_can_id_hex,cache_split,cache_row,true_class,predicted_class,confidence,correct,probability_Normal,probability_DoS,probability_Fuzzy,probability_Gear,probability_RPM
test,DoS,DoS,1478200533.436227,1478200533.470541,2551552,3,0.046875,60,0.8130073547363281,399,0x18F,test,1218,DoS,Normal,0.9683869,False,0.9683869,0.00407898,0.0034294466,0.015396779,0.008707872
test,DoS,DoS,1478200510.782292,1478200510.817502,2527232,1,0.015625,62,0.253915786743164,305,0x131,test,14,DoS,Normal,0.94091415,False,0.94091415,0.005238696,0.0017550103,0.012883476,0.03920865
test,Fuzzy,Fuzzy,1478197775.154671,1478197775.248607,2503360,3,0.046875,4,71.66790962219238,2,0x002,test,2625,Fuzzy,Normal,0.9297368,False,0.9297368,0.002366902,0.03302172,0.029450934,0.005423683
test,DoS,DoS,1478200556.051474,1478200556.082718,2576128,4,0.0625,57,1.4688968658447266,0,0x000,test,3683,DoS,Normal,0.92742556,False,0.92742556,0.012056907,0.0010147358,0.040601842,0.018900918
test,Fuzzy,Fuzzy,1478198098.550043,1478198098.581273,2802496,3,0.046875,55,2.1309852600097656,399,0x18F,test,958,Fuzzy,Normal,0.92291784,False,0.92291784,0.0016622718,0.04840472,0.018574394,0.0084407795
test,Gear,Gear,1478194955.051909,1478194955.084582,3231040,1,0.015625,63,0.0,2,0x002,test,2184,Gear,Normal,0.9146084,False,0.9146084,0.01784754,0.0016727713,0.054458406,0.011412915
test,DoS,DoS,1478200601.468816,1478200601.504001,2627264,6,0.09375,52,2.7229785919189453,0,0x000,test,3728,DoS,Normal,0.9031479,False,0.9031479,0.014438002,0.00088781427,0.05622011,0.025306234
test,DoS,DoS,1478200530.463283,1478200530.501616,2546048,4,0.0625,1,38.0859375,608,0x260,test,282,DoS,Normal,0.8955762,False,0.8955762,0.09071833,0.001391528,0.0015006004,0.010813379
test,Fuzzy,Fuzzy,1478198106.87724,1478198106.912995,2816064,2,0.03125,58,1.435995101928711,304,0x130,test,3099,Fuzzy,Normal,0.87843806,False,0.87843806,0.0009461705,0.068109624,0.028646633,0.023859523
test,RPM,RPM,1478192757.099919,1478192757.13188,3316736,1,0.015625,3,31.245946884155277,2,0x002,test,414,RPM,Normal,0.8544229,False,0.8544229,0.002818735,0.006373146,0.07310999,0.0632752
test,RPM,RPM,1478192686.039686,1478192686.073975,3165504,1,0.015625,2,33.82515907287598,790,0x316,test,2236,RPM,Normal,0.77777094,False,0.77777094,0.002521848,0.008125411,0.19701263,0.01456915
test,Fuzzy,Fuzzy,1478197877.380842,1478197877.413869,2599104,3,0.046875,58,2.772808074951172,399,0x18F,test,2546,Fuzzy,Normal,0.763773,False,0.763773,0.0008348442,0.1815373,0.008943917,0.04491093
test,Gear,Gear,1478194864.375516,1478194864.407457,3061504,1,0.015625,60,1.093149185180664,2,0x002,test,1719,Gear,Normal,0.7606783,False,0.7606783,0.032336,0.0006807149,0.18953693,0.016768076
test,Gear,Gear,1478194854.877164,1478194854.911395,3041728,3,0.046875,3,33.51712226867676,1087,0x43F,test,797,Gear,Normal,0.6973523,False,0.6973523,0.0021649976,0.013238444,0.12296754,0.16427672
test,DoS,DoS,1478200590.850622,1478200590.939017,2612992,9,0.140625,1,77.62908935546875,0,0x000,test,1938,DoS,Normal,0.53604776,False,0.53604776,0.45307496,0.0005922672,0.0074621537,0.0028228704
test,Gear,Gear,1478194935.71864,1478194935.754368,3197376,1,0.015625,61,0.5030632019042969,2,0x002,test,954,Gear,Normal,0.52965593,False,0.52965593,0.030325808,0.0009973955,0.42119753,0.017823279
test,Fuzzy,Fuzzy,1478198123.420131,1478198123.451193,2842304,4,0.0625,53,3.275156021118164,672,0x2A0,test,1235,Fuzzy,Normal,0.523661,False,0.523661,0.00087350444,0.4388778,0.03151255,0.0050750994
test,DoS,DoS,1478200379.909052,1478200379.940254,2343360,13,0.203125,42,5.815982818603516,0,0x000,test,1001,DoS,Normal,0.4977235,False,0.4977235,0.47135457,0.0003660962,0.01882763,0.011728203
