Model,true_class,count,mean,median,p95
Random Forest,DoS,800,77.02589422464371,55.60708045959473,205.25962114334106
Random Forest,Fuzzy,796,97.42493934966811,53.623080253601074,294.87836360931396
Random Forest,Gear,797,33.73825146233572,28.92398834228516,60.58077812194816
Random Forest,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
XGBoost,DoS,800,77.02589422464371,55.60708045959473,205.25962114334106
XGBoost,Fuzzy,796,97.42493934966811,53.623080253601074,294.87836360931396
XGBoost,Gear,797,33.73825146233572,28.92398834228516,60.58077812194816
XGBoost,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
Extra Trees,DoS,799,77.12197930404032,55.62305450439453,205.2682638168335
Extra Trees,Fuzzy,796,97.42493934966811,53.623080253601074,294.87836360931396
Extra Trees,Gear,796,33.73852926283026,28.91850471496582,60.64116954803467
Extra Trees,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
Logistic Regression,DoS,796,77.36192666106487,56.088924407958984,205.2941918373108
Logistic Regression,Fuzzy,796,97.51028331679915,53.90512943267822,294.87836360931396
Logistic Regression,Gear,796,33.73852926283026,28.91850471496582,60.64116954803467
Logistic Regression,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
Calibrated RF + CNN + LSTM Fusion,DoS,794,77.45559389705322,56.088924407958984,205.31147718429565
Calibrated RF + CNN + LSTM Fusion,Fuzzy,793,97.78026434091421,54.08120155334473,294.9169158935547
Calibrated RF + CNN + LSTM Fusion,Gear,796,33.73852926283026,28.91850471496582,60.64116954803467
Calibrated RF + CNN + LSTM Fusion,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
RF + CNN + LSTM Fusion,DoS,794,77.45559389705322,56.088924407958984,205.31147718429565
RF + CNN + LSTM Fusion,Fuzzy,793,97.78026434091421,54.08120155334473,294.9169158935547
RF + CNN + LSTM Fusion,Gear,796,33.73852926283026,28.91850471496582,60.64116954803467
RF + CNN + LSTM Fusion,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
LSTM Classifier,DoS,793,77.4374546349274,55.960893630981445,205.3201198577881
LSTM Classifier,Fuzzy,793,97.78026434091421,54.08120155334473,294.9169158935547
LSTM Classifier,Gear,796,33.73852926283026,28.91850471496582,60.64116954803467
LSTM Classifier,RPM,798,30.40606216679241,25.74896812438965,52.04157829284668
Recurrence CNN,DoS,794,77.45179571492847,56.088924407958984,205.31147718429565
Recurrence CNN,Fuzzy,790,97.79738565034503,54.29410934448242,294.9554681777954
Recurrence CNN,Gear,793,33.7681075814092,28.913021087646484,60.82234382629392
Recurrence CNN,RPM,796,30.361085081819315,25.742053985595703,51.93901062011719
