Model,Class,Precision,Recall,F1,Support
Logistic Regression,Normal,0.9828009828009828,1.0,0.9913258983890955,800
Logistic Regression,DoS,1.0,0.995,0.9974937343358395,800
Logistic Regression,Fuzzy,1.0,0.995,0.9974937343358395,800
Logistic Regression,Gear,1.0,0.995,0.9974937343358395,800
Logistic Regression,RPM,1.0,0.9975,0.9987484355444305,800
Random Forest,Normal,0.9888751545117429,1.0,0.9944064636420137,800
Random Forest,DoS,1.0,1.0,1.0,800
Random Forest,Fuzzy,1.0,0.995,0.9974937343358395,800
Random Forest,Gear,1.0,0.99625,0.9981214777708203,800
Random Forest,RPM,1.0,0.9975,0.9987484355444305,800
Extra Trees,Normal,0.9864364981504316,1.0,0.9931719428926132,800
Extra Trees,DoS,1.0,0.99875,0.9993746091307066,800
Extra Trees,Fuzzy,1.0,0.995,0.9974937343358395,800
Extra Trees,Gear,1.0,0.995,0.9974937343358395,800
Extra Trees,RPM,1.0,0.9975,0.9987484355444305,800
XGBoost,Normal,0.9888751545117429,1.0,0.9944064636420137,800
XGBoost,DoS,1.0,1.0,1.0,800
XGBoost,Fuzzy,1.0,0.995,0.9974937343358395,800
XGBoost,Gear,1.0,0.99625,0.9981214777708203,800
XGBoost,RPM,1.0,0.9975,0.9987484355444305,800
Recurrence CNN,Normal,0.9671532846715328,0.99375,0.9802712700369913,800
Recurrence CNN,DoS,1.0,0.97625,0.9879822896900696,800
Recurrence CNN,Fuzzy,0.9936948297604036,0.985,0.9893283113622097,800
Recurrence CNN,Gear,0.9516324062877872,0.98375,0.9674247080516287,800
Recurrence CNN,RPM,0.9922779922779923,0.96375,0.9778059606848446,800
LSTM Classifier,Normal,0.975609756097561,1.0,0.9876543209876543,800
LSTM Classifier,DoS,1.0,0.99125,0.9956057752667922,800
LSTM Classifier,Fuzzy,1.0,0.99125,0.9956057752667922,800
LSTM Classifier,Gear,0.998745294855709,0.995,0.9968691296180339,800
LSTM Classifier,RPM,1.0,0.99625,0.9981214777708203,800
RF + CNN + LSTM Fusion,Normal,0.9768009768009768,1.0,0.9882643607164917,800
RF + CNN + LSTM Fusion,DoS,1.0,0.9925,0.9962358845671268,800
RF + CNN + LSTM Fusion,Fuzzy,1.0,0.99125,0.9956057752667922,800
RF + CNN + LSTM Fusion,Gear,1.0,0.995,0.9974937343358395,800
RF + CNN + LSTM Fusion,RPM,1.0,0.9975,0.9987484355444305,800
Calibrated RF + CNN + LSTM Fusion,Normal,0.9768009768009768,1.0,0.9882643607164917,800
Calibrated RF + CNN + LSTM Fusion,DoS,1.0,0.9925,0.9962358845671268,800
Calibrated RF + CNN + LSTM Fusion,Fuzzy,1.0,0.99125,0.9956057752667922,800
Calibrated RF + CNN + LSTM Fusion,Gear,1.0,0.995,0.9974937343358395,800
Calibrated RF + CNN + LSTM Fusion,RPM,1.0,0.9975,0.9987484355444305,800
